architecture,run,decision_type,kendall_tau,spearman_rho,top1_accuracy,top2_accuracy,overall_mae,overall_rmse,overall_rmse_mae_ratio,energy_cost_mae,environmental_mae,comfort_mae,practicality_mae,energy_cost_rmse,environmental_rmse,comfort_rmse,practicality_rmse,n_scenarios,n_failed,n_total,model
LLM-Parameterized_Reference_Scoring,2,HVAC,0.8571,0.8714,0.8429,0.9571,0.0509,0.1053,2.0688,0.0898,0.0886,0.0,0.0251,0.1489,0.1451,0.0,0.0328,70,0,0,qwen
LLM-Parameterized_Reference_Scoring,2,Appliance,0.8974,0.9,0.9231,0.9846,0.1185,0.2337,1.9722,0.1782,0.2938,0.0009,0.0012,0.2572,0.39,0.0072,0.0098,65,0,0,qwen
LLM-Parameterized_Reference_Scoring,2,Shower,0.8889,0.9,0.9167,0.9667,0.0385,0.0887,2.3039,0.0473,0.0477,0.0347,0.0243,0.0996,0.099,0.0673,0.0849,60,0,0,qwen
LLM-Parameterized_Reference_Scoring,3,Overall,0.8598,0.8692,0.8872,0.959,0.0735,0.1632,2.2204,0.1141,0.1523,0.0107,0.0171,0.1931,0.2549,0.0373,0.0534,195,0,195,qwen
LLM-Parameterized_Reference_Scoring,3,HVAC,0.8762,0.8929,0.8714,0.9714,0.0551,0.1129,2.049,0.0995,0.0968,0.0,0.0241,0.1607,0.1554,0.0,0.0326,70,0,0,qwen
LLM-Parameterized_Reference_Scoring,3,Appliance,0.9077,0.9154,0.9385,0.9846,0.1207,0.2405,1.9925,0.1822,0.3007,0.0,0.0,0.2701,0.3979,0.0,0.0,65,0,0,qwen
LLM-Parameterized_Reference_Scoring,3,Shower,0.7889,0.7917,0.85,0.9167,0.0439,0.0948,2.1595,0.0572,0.0563,0.0347,0.0273,0.1094,0.107,0.0673,0.0895,60,0,0,qwen
LLM-Parameterized_Reference_Scoring,4,Overall,0.8797,0.8943,0.8918,0.9794,0.0736,0.1665,2.2622,0.114,0.1529,0.0107,0.0166,0.1987,0.2595,0.0374,0.0515,194,1,195,qwen
LLM-Parameterized_Reference_Scoring,4,HVAC,0.8841,0.9058,0.8696,0.9855,0.059,0.1327,2.2492,0.1083,0.1028,0.0,0.0248,0.1942,0.1778,0.0,0.0334,69,0,0,qwen
LLM-Parameterized_Reference_Scoring,4,Appliance,0.8872,0.8923,0.9077,0.9846,0.1193,0.2369,1.9858,0.1776,0.2997,0.0,0.0,0.2593,0.3966,0.0,0.0,65,0,0,qwen
LLM-Parameterized_Reference_Scoring,4,Shower,0.8667,0.8833,0.9,0.9667,0.0407,0.0926,2.2752,0.0518,0.0514,0.0347,0.0251,0.107,0.1048,0.0673,0.0855,60,0,0,qwen
LLM-Parameterized_Reference_Scoring,5,Overall,0.8838,0.8923,0.8974,0.9692,0.0711,0.1572,2.211,0.1101,0.1464,0.0107,0.0171,0.1878,0.2441,0.0373,0.0513,195,0,195,qwen
LLM-Parameterized_Reference_Scoring,5,HVAC,0.8857,0.9,0.8714,0.9714,0.0613,0.1266,2.0653,0.1112,0.1074,0.0,0.0267,0.1827,0.1721,0.0,0.0342,70,0,0,qwen
LLM-Parameterized_Reference_Scoring,5,Appliance,0.9179,0.9231,0.9385,0.9846,0.108,0.2196,2.0333,0.1595,0.2725,0.0,0.0,0.2411,0.3671,0.0,0.0,65,0,0,qwen
LLM-Parameterized_Reference_Scoring,5,Shower,0.8444,0.85,0.8833,0.95,0.0424,0.0969,2.2854,0.0553,0.0553,0.0347,0.0243,0.1126,0.1147,0.0673,0.0849,60,0,0,qwen
